date,buy_or_sell_num,reason_num,price,open,high,low,close,volume,k,d,j,ma5,ma10,ma20,rsi,success
2015-07-31,1,2,139.5,135,140.5,134,139.5,188923729,33.57558541238711,33.25586767967039,32.61643221423694,139.1,141.4,144.25,45.20911702129996,0
2015-08-28,1,2,125,120,127,112.5,125,379690294,22.10546543125342,21.93464656385577,21.593008829060466,128.9,134.65,139.975,31.44051289856472,1
2016-08-19,-1,3,174.5,178.5,179,174,174.5,123510524,87.59962940739359,88.01877230984618,88.85705811475134,174.5,169.45,162.025,66.02179759636627,0
2017-01-06,1,2,184,181.5,184.5,181,184,92527526,34.25663938757543,33.748463355656845,32.73211129181968,183,182.2,182.45,55.482624597415054,0
2018-06-15,1,2,231,226.5,232,224,231,174738133,28.846858927873154,24.324771060766345,15.28059532655272,226.8,228.7,237.125,52.723729928040605,1
2018-12-22,1,2,221.5,221,225.5,219,221.5,163480470,26.563487361253145,25.757024544261732,24.144098910278913,221.8,225.95,238.975,37.060530993566324,1
2019-05-03,-1,3,265,260,265,258,265,130674677,85.86234857381424,86.0136448089721,86.3162372792878,257.6,249,235.85,76.37008996738486,1
2019-07-05,1,2,243,245.5,250,241.5,243,168761165,36.47879420744406,35.42724797763679,33.32415551802224,239.7,242.95,244.55,51.78073588260999,1
2019-11-15,-1,4,307,305,307.5,300,307,117498009,90.38217011427105,89.09654143072693,86.52528406363871,299.6,285.5,270,96.02499252953739,0
2020-01-03,-1,3,339.5,338,345,331,339.5,119847168,85.50318550059353,85.77671060857047,86.32376082452436,331.7,318.4,295.2,79.36633149442538,1
2020-04-10,1,2,279.5,273,288,270,279.5,204782214,36.71949029887027,35.85022475982559,34.11169368173624,276.8,300.3,314.6,32.03274208708228,1
2020-07-31,-1,3,425.5,420.5,466.5,416.5,425.5,484536175,85.55017313714127,85.55374607354796,85.56089194636135,371.3,340.8,314.725,96.84804072864753,1
2021-01-22,-1,4,649,608,679,594,649,430649285,88.61895410676834,88.60568977029685,88.57916109735385,574.2,537.7,490.75,96.73649234995236,1
2022-05-20,1,2,530,521,541,518,530,148339255,15.549152102736182,15.086371268298619,14.16080959942349,533,556.2,591.05,33.96206557102447,0
2022-07-08,1,1,467,443,470.5,433,467,248951562,15.668912350651325,16.39595402070011,17.85003736079768,487.6,507.7,542.2,25.34869604037516,1
2022-10-07,1,1,438,418.5,451,416.5,438,192754094,18.50769868870196,30.834369347821927,55.48771066606185,452.4,481.1,491.175,27.82486975995546,1
2023-10-06,1,2,532,530,534,519,532,116211663,21.404504371584814,20.846212479957938,19.729628696704182,534.8,540.7,556.45,42.64674771437469,1
2024-03-01,-1,3,689,700,701,688,689,142235720,87.4310084560621,87.57161069794688,87.85281518171644,670,637.3,601.95,79.56425474583706,0
2025-04-18,1,2,850,895,903,842,850,198111153,19.897837985072545,19.581833646517964,18.9498249694088,921,976.4,1028.5,11.725272334387014,1